abalienacijskem | ABALIENACIJSKI
alkilsulfonatom | ALKILSULFONAT - [farm.] alkilirajoči citostatik, derivat dobre izstopajoče skupine metansulfonske kisline, ki lahko reagira s tiolnimi skupinami in ostalimi nukleofili
alkilsulfonatov | ALKILSULFONAT - [farm.] alkilirajoči citostatik, derivat dobre izstopajoče skupine metansulfonske kisline, ki lahko reagira s tiolnimi skupinami in ostalimi nukleofili
alkoholičarkama | ALKOHOLIČARKA - ženska, ki pretirano uživa alkoholne pijače
alkoholičarkami | ALKOHOLIČARKA - ženska, ki pretirano uživa alkoholne pijače
alkoholizirajmo | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholizirajta | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholizirajte | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholizirajva | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholiziranem | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholiziranih | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholiziranim | ALKOHOLIZIRATI - dodajati čemu alkohol
alkoholomanijah | ALKOHOLOMANIJA - kronična bolezenska nagnjenost k uživanju alkoholnih pijač
alkoholomanijam | ALKOHOLOMANIJA - kronična bolezenska nagnjenost k uživanju alkoholnih pijač
alkoholometroma | ALKOHOLOMETER - priprava za merjenje množine alkohola v tekočinah
alojzijeviščnik | gojenec srednješolskega internata Alojzijevišče
alojzijeviškega | ALOJZIJEVIŠKI - nanašajoč se na Alojzijevišče
alojzijeviškemu | ALOJZIJEVIŠKI - nanašajoč se na Alojzijevišče
alojzijeviškima | ALOJZIJEVIŠKI - nanašajoč se na Alojzijevišče
alojzijeviškimi | ALOJZIJEVIŠKI - nanašajoč se na Alojzijevišče
alometamorfizem | [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfizma | ALOMETAMORFIZEM - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfizme | ALOMETAMORFIZEM - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfizmi | ALOMETAMORFIZEM - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfizmu | ALOMETAMORFIZEM - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfozah | ALOMETAMORFOZA - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alometamorfozam | ALOMETAMORFOZA - [geol.] metamorfoza, pri kateri se zaradi dodajanja ali odvzemanja kake sestavine spremeni kemična sestava kamnine
alopoliploidoma | ALOPOLIPLOID - [bot.] poliploid, ki ima v jedru somatskih celic več različnih osnovnih garnitur kromosomov, nastal s križanjem dveh ali več različnih vrst
alostratigrafij | ALOSTRATIGRAFIJA - [geol.] stratigrafija sedimentnih kamnin, ki so ločene z diskordanco in se dajo kartirati
alotetraploidih | ALOTETRAPLOID - [bot.] aloploid, ki je nastal s podvojevanjem garnitur kromosomov križanca, nastalega s križanjem dveh vrst, zaradi česar ima v jedru somatskih celic več različnih osnovnih garnitur kromosomov
alotetraploidom | ALOTETRAPLOID - [bot.] aloploid, ki je nastal s podvojevanjem garnitur kromosomov križanca, nastalega s križanjem dveh vrst, zaradi česar ima v jedru somatskih celic več različnih osnovnih garnitur kromosomov
alotetraploidov | ALOTETRAPLOID - [bot.] aloploid, ki je nastal s podvojevanjem garnitur kromosomov križanca, nastalega s križanjem dveh vrst, zaradi česar ima v jedru somatskih celic več različnih osnovnih garnitur kromosomov
alternativnosti | ALTERNATIVNOST - lastnost, značilnost alternativnega
alternirajočega | ALTERNIRATI - izmenoma se vrstiti, menjavati se
alternirajočemu | ALTERNIRATI - izmenoma se vrstiti, menjavati se
alternirajočima | ALTERNIRATI - izmenoma se vrstiti, menjavati se
alternirajočimi | ALTERNIRATI - izmenoma se vrstiti, menjavati se
altiplanacijama | ALTIPLANACIJA - [geog.] zniževanje in uravnavanje površja v periglacialnem podnebju, zlasti zaradi gelifrakcije, krioturbacije in soliflukcije
altiplanacijami | ALTIPLANACIJA - [geog.] zniževanje in uravnavanje površja v periglacialnem podnebju, zlasti zaradi gelifrakcije, krioturbacije in soliflukcije
alumosilikatoma | ALUMOSILIKAT - sol aluminijevega in silicijevega oksida s kovino
alunitizacijama | ALUNITIZACIJA - [geol.] nadomeščanje glinencev z alunitom pri preperevanju magmatskih kamnin
alunitizacijami | ALUNITIZACIJA - [geol.] nadomeščanje glinencev z alunitom pri preperevanju magmatskih kamnin
alveolizacijama | ALVEOLIZACIJA - [kamn.] proces nastajanja lukenj v površini izdelka iz naravnega kamna zaradi erozije, kar povzroči njegovo propadanje, značilen zlasti za peščenjake in mehkejše sedimentne kamnine
alveolizacijami | ALVEOLIZACIJA - [kamn.] proces nastajanja lukenj v površini izdelka iz naravnega kamna zaradi erozije, kar povzroči njegovo propadanje, značilen zlasti za peščenjake in mehkejše sedimentne kamnine
amalgamiranjema | AMALGAMIRANJE - glagolnik od amalgamirati
ambicioznostima | AMBICIOZNOST - lastnost ambicioznega človeka
ambivalentnosti | AMBIVALENTNOST - lastnost ambivalentnega
ambrozijanskega | AMBROZIJANSKI - imenovan po milanskem škofu Ambroziju
ambrozijanskemu | AMBROZIJANSKI - imenovan po milanskem škofu Ambroziju
ambrozijanskima | AMBROZIJANSKI - imenovan po milanskem škofu Ambroziju
ambrozijanskimi | AMBROZIJANSKI - imenovan po milanskem škofu Ambroziju
amerikanistikah | AMERIKANISTIKA - veda o ameriški angleščini, književnosti in kulturi
amerikanistikam | AMERIKANISTIKA - veda o ameriški angleščini, književnosti in kulturi
amerikanizacija | glagolnik od amerikanizirati
amerikanizacije | AMERIKANIZACIJA - glagolnik od amerikanizirati
amerikanizaciji | AMERIKANIZACIJA - glagolnik od amerikanizirati
amerikanizacijo | AMERIKANIZACIJA - glagolnik od amerikanizirati
amerikanizirajo | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirala | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirale | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirali | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikaniziralo | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikaniziramo | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirana | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirane | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirani | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirano | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirata | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirate | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirati | prilagajati ameriškemu načinu življenja in mišljenja
amerikanizirava | AMERIKANIZIRATI - prilagajati ameriškemu načinu življenja in mišljenja
amerikanofiloma | AMERIKANOFIL - kdor se navdušuje za ameriško politiko ali kulturo
amerikanščinama | AMERIKANŠČINA - ameriška angleščina
amerikanščinami | AMERIKANŠČINA - ameriška angleščina
amfiteatralnega | AMFITEATRALEN - po obliki podoben amfiteatru
amfiteatralnemu | AMFITEATRALEN - po obliki podoben amfiteatru
amfiteatralnima | AMFITEATRALEN - po obliki podoben amfiteatru
amfiteatralnimi | AMFITEATRALEN - po obliki podoben amfiteatru
aminokinolinoma | AMINOKINOLINI - [farm.] antimalariki s kinolinskim obročem, substituiranim z aminsko skupino na mestih 4 ali 8, ki preprečijo razgradnjo hemoglobina v gostiteljskih celicah, npr. klorokin, primakin
aminosladkorjem | AMINOSLADKOR - [farm.] sladkor, ki ima v molekuli namesto vsaj ene hidroksilne skupine aminsko skupino, npr. glukozamin
aminosladkorjev | AMINOSLADKOR - [farm.] sladkor, ki ima v molekuli namesto vsaj ene hidroksilne skupine aminsko skupino, npr. glukozamin
aminosladkorjih | AMINOSLADKOR - [farm.] sladkor, ki ima v molekuli namesto vsaj ene hidroksilne skupine aminsko skupino, npr. glukozamin
amonifikacijama | AMONIFIKACIJA - razkroj organskih dušičnih snovi v amonijak
amonifikacijami | AMONIFIKACIJA - razkroj organskih dušičnih snovi v amonijak
amortizacijskem | AMORTIZACIJSKI - nanašajoč se na amortizacijo
amortizacijskih | AMORTIZACIJSKI - nanašajoč se na amortizacijo
amortizacijskim | AMORTIZACIJSKI - nanašajoč se na amortizacijo
ampelografijama | AMPELOGRAFIJA - veda, ki proučuje vrste vinskih trt
ampelografijami | AMPELOGRAFIJA - veda, ki proučuje vrste vinskih trt
amplifikacijama | AMPLIFIKACIJA
amplifikacijami | AMPLIFIKACIJA
anabaptističnem | ANABAPTISTIČEN - nanašajoč se na anabaptiste ali anabaptizem
anabaptističnih | ANABAPTISTIČEN - nanašajoč se na anabaptiste ali anabaptizem
anabaptističnim | ANABAPTISTIČEN - nanašajoč se na anabaptiste ali anabaptizem
anabaptistovska | ANABAPTISTOVSKI - nanašajoč se na anabaptiste
anabaptistovske | ANABAPTISTOVSKI - nanašajoč se na anabaptiste
anabaptistovski | nanašajoč se na anabaptiste
anabaptistovsko | ANABAPTISTOVSKI - nanašajoč se na anabaptiste
anafilaktičnega | ANAFILAKTIČEN - nanašajoč se na anafilaksijo
anafilaktičnemu | ANAFILAKTIČEN - nanašajoč se na anafilaksijo
anafilaktičnima | ANAFILAKTIČEN - nanašajoč se na anafilaksijo
anafilaktičnimi | ANAFILAKTIČEN - nanašajoč se na anafilaksijo
anafrodiziakoma | ANAFRODIZIAK - [farm.] učinkovina, ki zmanjšuje spolno slo
anahronističnem | ANAHRONISTIČEN - ki ni v skladu z določenim časom ali razmerami, nesodoben
anahronističnih | ANAHRONISTIČEN - ki ni v skladu z določenim časom ali razmerami, nesodoben
anahronističnim | ANAHRONISTIČEN - ki ni v skladu z določenim časom ali razmerami, nesodoben
analfabetizmoma | ANALFABETIZEM - neznanje branja in pisanja
anarhistovskega | ANARHISTOVSKI - nanašajoč se na anarhiste
anarhistovskemu | ANARHISTOVSKI - nanašajoč se na anarhiste
anarhistovskima | ANARHISTOVSKI - nanašajoč se na anarhiste
anarhistovskimi | ANARHISTOVSKI - nanašajoč se na anarhiste
anastomozirajmo | ANASTOMOZIRATI - prehajati drug v drugega
anastomozirajta | ANASTOMOZIRATI - prehajati drug v drugega
anastomozirajte | ANASTOMOZIRATI - prehajati drug v drugega
anastomozirajva | ANASTOMOZIRATI - prehajati drug v drugega
anatematizirajo | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirala | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirale | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirali | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematiziralo | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematiziramo | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirata | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirate | ANATEMATIZIRATI - izobčiti iz Cerkve
anatematizirati | izobčiti iz Cerkve
anatematizirava | ANATEMATIZIRATI - izobčiti iz Cerkve
anatomiziranega | ANATOMIZIRATI - podrobno razstaviti, razčleniti
anatomiziranemu | ANATOMIZIRATI - podrobno razstaviti, razčleniti
anatomiziranima | ANATOMIZIRATI - podrobno razstaviti, razčleniti
anatomiziranimi | ANATOMIZIRATI - podrobno razstaviti, razčleniti
andezitbazaltih | ANDEZITBAZALT - [geol.] bazalt, ki vsebuje srednje plagioklaze namesto kalcijevih plagioklazov
andezitbazaltom | ANDEZITBAZALT - [geol.] bazalt, ki vsebuje srednje plagioklaze namesto kalcijevih plagioklazov
andezitbazaltov | ANDEZITBAZALT - [geol.] bazalt, ki vsebuje srednje plagioklaze namesto kalcijevih plagioklazov
androdiecičnost | [bot.]
androgamocistah | ANDROGAMOCISTA - [bot.] moška gametocista, značilna za večino zaprtotrosnic (Ascomycota)
androgamocistam | ANDROGAMOCISTA - [bot.] moška gametocista, značilna za večino zaprtotrosnic (Ascomycota)
androginoforoma | ANDROGINOFOR - [bot.] podaljšani internodij cvetišča med venčnimi listi in prašniki, zaradi katerega so prašniki in plodnica dvignjeni nad ostale dele cveta, npr. pri nekaterih kaprovčevkah (Capparidaceae)
androsporocista | [bot.] razmnoževalna struktura pri nekaterih zelenih algah (Oedogoniales, Chlorophyta), iz katere nastajajo androspore
androsporociste | ANDROSPOROCISTA - [bot.] razmnoževalna struktura pri nekaterih zelenih algah (Oedogoniales, Chlorophyta), iz katere nastajajo androspore
androsporocisti | ANDROSPOROCISTA - [bot.] razmnoževalna struktura pri nekaterih zelenih algah (Oedogoniales, Chlorophyta), iz katere nastajajo androspore
androsporocisto | ANDROSPOROCISTA - [bot.] razmnoževalna struktura pri nekaterih zelenih algah (Oedogoniales, Chlorophyta), iz katere nastajajo androspore
anekdotičnostih | ANEKDOTIČNOST - lastnost, značilnost anekdotičnega
anekdotičnostim | ANEKDOTIČNOST - lastnost, značilnost anekdotičnega
anekdotičnostjo | ANEKDOTIČNOST - lastnost, značilnost anekdotičnega
anekdotičnostma | ANEKDOTIČNOST - lastnost, značilnost anekdotičnega
anekdotičnostmi | ANEKDOTIČNOST - lastnost, značilnost anekdotičnega
aneksionističen | ki je usmerjen, ki teži k aneksiji
aneksionistična | ANEKSIONISTIČEN - ki je usmerjen, ki teži k aneksiji
aneksionistične | ANEKSIONISTIČEN - ki je usmerjen, ki teži k aneksiji
aneksionistični | ANEKSIONISTIČEN - ki je usmerjen, ki teži k aneksiji
aneksionistično | ANEKSIONISTIČEN - ki je usmerjen, ki teži k aneksiji
anelokonidijema | ANELOKONIDIJ - [bot.] 
anesteziologija | veda, ki se ukvarja z anestezijo in vzdrževanjem življenjskih funkcij med operacijo
anesteziologije | ANESTEZIOLOGIJA - veda, ki se ukvarja z anestezijo in vzdrževanjem življenjskih funkcij med operacijo
anesteziologiji | ANESTEZIOLOGIJA - veda, ki se ukvarja z anestezijo in vzdrževanjem življenjskih funkcij med operacijo
anesteziologijo | ANESTEZIOLOGIJA - veda, ki se ukvarja z anestezijo in vzdrževanjem življenjskih funkcij med operacijo
anesteziologinj | ANESTEZIOLOGINJA - zdravnica specialistka za anesteziologijo, reanimatologijo, intenzivno medicino in lajšanje bolečine po operaciji
anesteziologoma | ANESTEZIOLOG - zdravnik specialist za anesteziologijo, reanimatologijo, intenzivno medicino in lajšanje bolečine po operaciji
anesteziološkem | ANESTEZIOLOŠKI - nanašajoč se na anesteziologe ali anesteziologijo
anestezioloških | ANESTEZIOLOŠKI - nanašajoč se na anesteziologe ali anesteziologijo
anesteziološkim | ANESTEZIOLOŠKI - nanašajoč se na anesteziologe ali anesteziologijo
angažiranostima | ANGAŽIRANOST - zelo aktiven, dejaven odnos do česa, zavzetost
angioplastikama | ANGIOPLASTIKA - širjenje zoženih žil s katetrom, ki ima na koncu napihljiv balonček
angioplastikami | ANGIOPLASTIKA - širjenje zoženih žil s katetrom, ki ima na koncu napihljiv balonček
angloameriškega | ANGLOAMERIŠKI - nanašajoč se na Američane angleškega rodu
angloameriškemu | ANGLOAMERIŠKI - nanašajoč se na Američane angleškega rodu
angloameriškima | ANGLOAMERIŠKI - nanašajoč se na Američane angleškega rodu
angloameriškimi | ANGLOAMERIŠKI - nanašajoč se na Američane angleškega rodu
anglosaksonskem | ANGLOSAKSONSKI - nanašajoč se na Anglosaksonce
anglosaksonskih | ANGLOSAKSONSKI - nanašajoč se na Anglosaksonce
anglosaksonskim | ANGLOSAKSONSKI - nanašajoč se na Anglosaksonce
angloslovenščin | ANGLOSLOVENŠČINA - slovenščina z elementi angleščine
anhimetamorfoza | [geol.]
anhimetamorfoze | ANHIMETAMORFOZA - [geol.] 
anhimetamorfozi | ANHIMETAMORFOZA - [geol.] 
anhimetamorfozo | ANHIMETAMORFOZA - [geol.] 
animaličnostima | ANIMALIČNOST
anizokotilijama | ANIZOKOTILIJA - [bot.] pojav, da sta klična lista neenako razvita, pogost zlasti pri vrstah iz družine gesnerijevk (Gesneriaceae)
anizokotilijami | ANIZOKOTILIJA - [bot.] pojav, da sta klična lista neenako razvita, pogost zlasti pri vrstah iz družine gesnerijevk (Gesneriaceae)
anizotropnostih | ANIZOTROPNOST - [kamn.] lastnost nekaterih kamnin, da imajo zaradi svoje notranje zgradbe v različnih smereh različne lastnosti, zaradi česar se različno odzivajo na obremenitve in udarce z orodjem
anizotropnostim | ANIZOTROPNOST - [kamn.] lastnost nekaterih kamnin, da imajo zaradi svoje notranje zgradbe v različnih smereh različne lastnosti, zaradi česar se različno odzivajo na obremenitve in udarce z orodjem
anizotropnostjo | ANIZOTROPNOST - [kamn.] lastnost nekaterih kamnin, da imajo zaradi svoje notranje zgradbe v različnih smereh različne lastnosti, zaradi česar se različno odzivajo na obremenitve in udarce z orodjem
anizotropnostma | ANIZOTROPNOST - [kamn.] lastnost nekaterih kamnin, da imajo zaradi svoje notranje zgradbe v različnih smereh različne lastnosti, zaradi česar se različno odzivajo na obremenitve in udarce z orodjem
anizotropnostmi | ANIZOTROPNOST - [kamn.] lastnost nekaterih kamnin, da imajo zaradi svoje notranje zgradbe v različnih smereh različne lastnosti, zaradi česar se različno odzivajo na obremenitve in udarce z orodjem
anoreksičarkama | ANOREKSIČARKA - ženska, ki ima anoreksijo
anoreksičarkami | ANOREKSIČARKA - ženska, ki ima anoreksijo
anoreksičnostih | ANOREKSIČNOST - lastnost, stanje anoreksičnega
anoreksičnostim | ANOREKSIČNOST - lastnost, stanje anoreksičnega
anoreksičnostjo | ANOREKSIČNOST - lastnost, stanje anoreksičnega
anoreksičnostma | ANOREKSIČNOST - lastnost, stanje anoreksičnega
anoreksičnostmi | ANOREKSIČNOST - lastnost, stanje anoreksičnega
anorektičarkama | ANOREKTIČARKA
anorektičarkami | ANOREKTIČARKA
antagonističnem | ANTAGONISTIČEN - nanašajoč se na antagonizem
antagonističnih | ANTAGONISTIČEN - nanašajoč se na antagonizem
antagonističnim | ANTAGONISTIČEN - nanašajoč se na antagonizem
anteraksantinih | ANTERAKSANTIN - [bot.] 
anteraksantinom | ANTERAKSANTIN - [bot.] 
anteraksantinov | ANTERAKSANTIN - [bot.] 
anteridioforoma | ANTERIDIOFOR - [bot.] iz gametofita izraščajoči organ z anteridiji na vrhu, značilen za nekatere steljkaste jetrenjake
anthelmintikoma | ANTHELMINTIK - [farm.] zdravilo ali učinkovina, ki se uporablja za odstranjevanje črevesnih zajedavcev
antiadrenergika | ANTIADRENERGIK - [farm.] 
antiadrenergike | ANTIADRENERGIK - [farm.] 
antiadrenergiki | ANTIADRENERGIK - [farm.] 
antiadrenergiku | ANTIADRENERGIK - [farm.] 
