abalienacijah | ABALIENACIJA
primitivistom | PRIMITIVIST - slikar, umetnik, navadno brez akademske izobrazbe, ki ne upošteva realnih, razumskih razmerij med likovnimi sestavinami
primitivistov | PRIMITIVIST - slikar, umetnik, navadno brez akademske izobrazbe, ki ne upošteva realnih, razumskih razmerij med likovnimi sestavinami
primitivizira | PRIMITIVIZIRATI - delati kaj primitivno
primitivizmih | PRIMITIVIZEM
primitivizmom | PRIMITIVIZEM
primitivizmov | PRIMITIVIZEM
primitivnejša | PRIMITIVEN - ki je na nizki, začetni stopnji razvoja
primitivnejše | PRIMITIVEN - ki je na nizki, začetni stopnji razvoja
primitivnejši | PRIMITIVEN - ki je na nizki, začetni stopnji razvoja
primitivnejšo | PRIMITIVEN - ki je na nizki, začetni stopnji razvoja
primitivnosti | PRIMITIVNOST - lastnost, značilnost primitivnega
primogenitura | 
primogeniture | PRIMOGENITURA
primogenituri | PRIMOGENITURA
primogenituro | PRIMOGENITURA
primojdušajmo | PRIMOJDUŠATI SE - preklinjati, navadno z besedami pri moji duši
primojdušajta | PRIMOJDUŠATI SE - preklinjati, navadno z besedami pri moji duši
primojdušajte | PRIMOJDUŠATI SE - preklinjati, navadno z besedami pri moji duši
primojdušajva | PRIMOJDUŠATI SE - preklinjati, navadno z besedami pri moji duši
primojdušanja | PRIMOJDUŠANJE - glagolnik od primojdušati se
primojdušanje | glagolnik od primojdušati se
primojdušanji | PRIMOJDUŠANJE - glagolnik od primojdušati se
primojdušanju | PRIMOJDUŠANJE - glagolnik od primojdušati se
primojdušarja | PRIMOJDUŠAR - kdor se (rad) primojduša
primojdušarje | PRIMOJDUŠAR - kdor se (rad) primojduša
primojdušarji | PRIMOJDUŠAR - kdor se (rad) primojduša
primojdušarju | PRIMOJDUŠAR - kdor se (rad) primojduša
primojduševca | PRIMOJDUŠEVEC - kdor se (rad) primojduša
primojduševce | PRIMOJDUŠEVEC - kdor se (rad) primojduša
primojduševci | PRIMOJDUŠEVEC - kdor se (rad) primojduša
primojduševcu | PRIMOJDUŠEVEC - kdor se (rad) primojduša
primojduševec | kdor se (rad) primojduša
primojstokrat | izraža podkrepitev trditve
primopredajah | PRIMOPREDAJA - izročitev in prevzem blaga, poslov
primopredajam | PRIMOPREDAJA - izročitev in prevzem blaga, poslov
primoranostih | PRIMORANOST
primoranostim | PRIMORANOST
primoranostjo | PRIMORANOST
primoranostma | PRIMORANOST
primoranostmi | PRIMORANOST
primorščinama | PRIMORŠČINA - primorsko narečje
primorščinami | PRIMORŠČINA - primorsko narečje
primotoglavil | PRIMOTOGLAVITI - v omotici priti
primotoglavim | PRIMOTOGLAVITI - v omotici priti
primotoglaviš | PRIMOTOGLAVITI - v omotici priti
primotoglavit | PRIMOTOGLAVITI - v omotici priti
primotovilijo | PRIMOTOVILITI - počasi, nerodno priti
primotovilila | PRIMOTOVILITI - počasi, nerodno priti
primotovilile | PRIMOTOVILITI - počasi, nerodno priti
primotovilili | PRIMOTOVILITI - počasi, nerodno priti
primotovililo | PRIMOTOVILITI - počasi, nerodno priti
primotovilimo | PRIMOTOVILITI - počasi, nerodno priti
primotovilita | PRIMOTOVILITI - počasi, nerodno priti
primotovilite | PRIMOTOVILITI - počasi, nerodno priti
primotoviliti | počasi, nerodno priti
primotoviliva | PRIMOTOVILITI - počasi, nerodno priti
primrznjenega | PRIMRZNITI - z zmrzovanjem se pritrditi na podlago
primrznjenemu | PRIMRZNITI - z zmrzovanjem se pritrditi na podlago
primrznjenima | PRIMRZNITI - z zmrzovanjem se pritrditi na podlago
primrznjenimi | PRIMRZNITI - z zmrzovanjem se pritrditi na podlago
primrzovanjem | PRIMRZOVANJE - [plan.] pojav, da podhlajene vodne kapljice po trčenju primrznejo na delce trdnih padavin v ozračju ali na snežno odejo, predmete, rastlinstvo na tleh, ohlajenih na 0 °C ali več
primrzovanjih | PRIMRZOVANJE - [plan.] pojav, da podhlajene vodne kapljice po trčenju primrznejo na delce trdnih padavin v ozračju ali na snežno odejo, predmete, rastlinstvo na tleh, ohlajenih na 0 °C ali več
princesinjama | PRINCESINJA
princesinjami | PRINCESINJA
princezinjama | PRINCEZINJA
princezinjami | PRINCEZINJA
principalkama | PRINCIPALKA - [gled.] vodja igralske skupine, lastnica scenskega, kostumskega  fundusa
principalkami | PRINCIPALKA - [gled.] vodja igralske skupine, lastnica scenskega, kostumskega  fundusa
principialnem | PRINCIPIALEN
principialnih | PRINCIPIALEN
principialnim | PRINCIPIALEN
prinesiteljem | PRINESITELJ - kdor kaj prinaša, prinese
prinesiteljev | PRINESITELJ - kdor kaj prinaša, prinese
prinesiteljih | PRINESITELJ - kdor kaj prinaša, prinese
priobčevalcem | PRIOBČEVALEC
priobčevalcev | PRIOBČEVALEC
priobčevalcih | PRIOBČEVALEC
priobčljivega | PRIOBČLJIV
priobčljivemu | PRIOBČLJIV
priobčljivima | PRIOBČLJIV
priobčljivimi | PRIOBČLJIV
priobčljivost | 
prioritetnega | PRIORITETEN
prioritetnemu | PRIORITETEN
prioritetnima | PRIORITETEN
prioritetnimi | PRIORITETEN
priostrenosti | PRIOSTRENOST - značilnost priostrenega
priostritvama | PRIOSTRITEV - glagolnik od priostriti
priostritvami | PRIOSTRITEV - glagolnik od priostriti
priostritvijo | PRIOSTRITEV - glagolnik od priostriti
pripadajočega | PRIPADATI - biti določen, namenjen komu po določenih pravilih, normah
pripadajočemu | PRIPADATI - biti določen, namenjen komu po določenih pravilih, normah
pripadajočima | PRIPADATI - biti določen, namenjen komu po določenih pravilih, normah
pripadajočimi | PRIPADATI - biti določen, namenjen komu po določenih pravilih, normah
pripadništvih | PRIPADNIŠTVO
pripadništvom | PRIPADNIŠTVO
pripadnostima | PRIPADNOST - dejstvo, da kdo, kaj pripada čemu
pripadnostnem | PRIPADNOSTEN - pridevnik od pripadnost
pripadnostnih | PRIPADNOSTEN - pridevnik od pripadnost
pripadnostnim | PRIPADNOSTEN - pridevnik od pripadnost
pripekajočega | PRIPEKATI - oddajati, dajati zelo močno toploto
pripekajočemu | PRIPEKATI - oddajati, dajati zelo močno toploto
pripekajočima | PRIPEKATI - oddajati, dajati zelo močno toploto
pripekajočimi | PRIPEKATI - oddajati, dajati zelo močno toploto
pripenjalčkih | PRIPENJALČEK - risalni žebljiček
pripenjalčkom | PRIPENJALČEK - risalni žebljiček
pripenjalčkov | PRIPENJALČEK - risalni žebljiček
pripenjalnega | PRIPENJALEN - s katerim se pripenja
pripenjalnemu | PRIPENJALEN - s katerim se pripenja
pripenjalnima | PRIPENJALEN - s katerim se pripenja
pripenjalnimi | PRIPENJALEN - s katerim se pripenja
pripenjanjema | PRIPENJANJE - glagolnik od pripenjati
pripetljajema | PRIPETLJAJ - kar se pripeti
pripisljivost | [prav.] pogoj, ki mora biti izpolnjen poleg kršitve mednarodnopravne obveznosti države ali mednarodne organizacije za ugotovitev odgovornosti po mednarodnem pravu in dokazuje, da gre za ravnanje države ali mednarodne organizacije
pripogibanjem | PRIPOGIBANJE - glagolnik od pripogibati
pripogibanjih | PRIPOGIBANJE - glagolnik od pripogibati
pripogibljejo | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljemo | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljeta | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljete | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljeva | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljimo | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljita | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljite | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripogibljiva | PRIPOGIBATI - delati, povzročati, da prihaja zgornji konec česa prožnega bližje k tlom
pripombarjema | PRIPOMBAR - kdor (rad) kaj pripomni
pripombarstev | PRIPOMBARSTVO - dajanje pripomb, navadno manj pomembnih
pripombarstva | PRIPOMBARSTVO - dajanje pripomb, navadno manj pomembnih
pripombarstvi | PRIPOMBARSTVO - dajanje pripomb, navadno manj pomembnih
pripombarstvo | dajanje pripomb, navadno manj pomembnih
pripombarstvu | PRIPOMBARSTVO - dajanje pripomb, navadno manj pomembnih
pripominjajmo | PRIPOMINJATI - izražati misel, mnenje, ki kaže navadno kritičen odnos do česa
pripominjajta | PRIPOMINJATI - izražati misel, mnenje, ki kaže navadno kritičen odnos do česa
pripominjajte | PRIPOMINJATI - izražati misel, mnenje, ki kaže navadno kritičen odnos do česa
pripominjajva | PRIPOMINJATI - izražati misel, mnenje, ki kaže navadno kritičen odnos do česa
priporočanjem | PRIPOROČANJE - glagolnik od priporočati
priporočanjih | PRIPOROČANJE - glagolnik od priporočati
priporočenega | PRIPOROČITI - izraziti mnenje, da je kaj koristno, dobro za koga, kaj
priporočenemu | PRIPOROČITI - izraziti mnenje, da je kaj koristno, dobro za koga, kaj
priporočenima | PRIPOROČITI - izraziti mnenje, da je kaj koristno, dobro za koga, kaj
priporočenimi | PRIPOROČITI - izraziti mnenje, da je kaj koristno, dobro za koga, kaj
priporočevala | PRIPOROČEVATI
priporočevale | PRIPOROČEVATI
priporočevali | PRIPOROČEVATI
priporočevalo | PRIPOROČEVATI
priporočevati | 
priporočilnem | PRIPOROČILEN - nanašajoč se na priporočilo
priporočilnih | PRIPOROČILEN - nanašajoč se na priporočilo
priporočilnim | PRIPOROČILEN - nanašajoč se na priporočilo
priporočiloma | PRIPOROČILO - mnenje, da je kaj koristno, dobro za koga
priporočljiva | PRIPOROČLJIV - ki se (lahko) priporoči
priporočljive | PRIPOROČLJIV - ki se (lahko) priporoči
priporočljivi | PRIPOROČLJIV - ki se (lahko) priporoči
priporočljivo | PRIPOROČLJIV - ki se (lahko) priporoči
priporočnikih | PRIPOROČNIK - kdor koga priporoči, priporoča
priporočnikom | PRIPOROČNIK - kdor koga priporoči, priporoča
priporočnikov | PRIPOROČNIK - kdor koga priporoči, priporoča
priporočninah | PRIPOROČNINA - pristojbina za priporočeno pošiljko
priporočninam | PRIPOROČNINA - pristojbina za priporočeno pošiljko
priporočujejo | PRIPOROČEVATI
priporočujemo | PRIPOROČEVATI
priporočujeta | PRIPOROČEVATI
priporočujete | PRIPOROČEVATI
priporočujeva | PRIPOROČEVATI
priposestvuje | PRIPOSESTVOVATI - pridobiti lastninsko pravico do česa ali pravico uporabe z dobrovernim, nemotenim uživanjem za določeno dobo
pripovedačema | PRIPOVEDAČ
pripovedkarja | PRIPOVEDKAR - pripovedovalec ali pisec pripovedk
pripovedkarje | PRIPOVEDKAR - pripovedovalec ali pisec pripovedk
pripovedkarji | PRIPOVEDKAR - pripovedovalec ali pisec pripovedk
pripovedkarju | PRIPOVEDKAR - pripovedovalec ali pisec pripovedk
pripovednicah | PRIPOVEDNICA - ženska, ki piše zlasti prozna pripovedna dela
pripovednicam | PRIPOVEDNICA - ženska, ki piše zlasti prozna pripovedna dela
pripovednikih | PRIPOVEDNIK - kdor piše zlasti prozna pripovedna dela
pripovednikom | PRIPOVEDNIK - kdor piše zlasti prozna pripovedna dela
pripovednikov | PRIPOVEDNIK - kdor piše zlasti prozna pripovedna dela
pripovedniška | PRIPOVEDNIŠKI - nanašajoč se na pripovedništvo
pripovedniške | PRIPOVEDNIŠKI - nanašajoč se na pripovedništvo
pripovedniški | nanašajoč se na pripovedništvo
pripovedniško | PRIPOVEDNIŠKI - nanašajoč se na pripovedništvo
pripovednosti | PRIPOVEDNOST - lastnost, značilnost pripovednega
pripovedovaje | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovala | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovale | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovali | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovalk | PRIPOVEDOVALKA - ženska, ki kaj pripoveduje
pripovedovalo | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovana | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovane | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovani | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovanj | PRIPOVEDOVANJE - glagolnik od pripovedovati
pripovedovano | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedovati | delati, da kdo kaj izve, se s čim seznani
pripovedujejo | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujemo | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujeta | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujete | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujeva | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujoča | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujoče | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujoči | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripovedujočo | PRIPOVEDOVATI - delati, da kdo kaj izve, se s čim seznani
pripoznanjema | PRIPOZNANJE
pripoznavajmo | PRIPOZNAVATI
pripoznavajta | PRIPOZNAVATI
pripoznavajte | PRIPOZNAVATI
pripoznavajva | PRIPOZNAVATI
pripravljajmo | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljajoč | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljajta | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljajte | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljajva | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljalca | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljalce | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljalci | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljalcu | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljalec | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljalen | nanašajoč se na pripravljanje
pripravljalna | PRIPRAVLJALEN - nanašajoč se na pripravljanje
pripravljalne | PRIPRAVLJALEN - nanašajoč se na pripravljanje
pripravljalni | PRIPRAVLJALEN - nanašajoč se na pripravljanje
pripravljalno | PRIPRAVLJALEN - nanašajoč se na pripravljanje
pripravljanem | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljanih | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljanim | PRIPRAVLJATI - delati, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljanja | PRIPRAVLJANJE - glagolnik od pripravljati
pripravljanje | glagolnik od pripravljati
pripravljanji | PRIPRAVLJANJE - glagolnik od pripravljati
pripravljanju | PRIPRAVLJANJE - glagolnik od pripravljati
pripravljavca | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljavce | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljavci | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljavcu | PRIPRAVLJAVEC - kdor kaj pripravlja
pripravljavec | kdor kaj pripravlja
pripravljenem | PRIPRAVITI - narediti, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljenih | PRIPRAVITI - narediti, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravljenim | PRIPRAVITI - narediti, da kaj ima vse potrebno, je v primernem stanju za kak namen
pripravnejšem | PRIPRAVEN - ki po velikosti, obliki dobro ustreza svojemu namenu
pripravnejših | PRIPRAVEN - ki po velikosti, obliki dobro ustreza svojemu namenu
pripravnejšim | PRIPRAVEN - ki po velikosti, obliki dobro ustreza svojemu namenu
pripravnicama | PRIPRAVNICA - ženska, ki dela v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravnicami | PRIPRAVNICA - ženska, ki dela v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravnikoma | PRIPRAVNIK - kdor dela v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravniškem | PRIPRAVNIŠKI - nanašajoč se na pripravnike ali pripravništvo
pripravniških | PRIPRAVNIŠKI - nanašajoč se na pripravnike ali pripravništvo
pripravniškim | PRIPRAVNIŠKI - nanašajoč se na pripravnike ali pripravništvo
pripravništev | PRIPRAVNIŠTVO - delo v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravništva | PRIPRAVNIŠTVO - delo v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravništvi | PRIPRAVNIŠTVO - delo v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravništvo | delo v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravništvu | PRIPRAVNIŠTVO - delo v organiziranem delovnem procesu zaradi usposabljanja za samostojno opravljanje poklica
pripravnostih | PRIPRAVNOST - lastnost, značilnost pripravnega
pripravnostim | PRIPRAVNOST - lastnost, značilnost pripravnega
pripravnostjo | PRIPRAVNOST - lastnost, značilnost pripravnega
pripravnostma | PRIPRAVNOST - lastnost, značilnost pripravnega
pripravnostmi | PRIPRAVNOST - lastnost, značilnost pripravnega
priprežnikoma | PRIPREŽNIK - kdor posoja vprežno živino za priprego
priprežništev | PRIPREŽNIŠTVO - dejavnost priprežnikov
priprežništva | PRIPREŽNIŠTVO - dejavnost priprežnikov
priprežništvi | PRIPREŽNIŠTVO - dejavnost priprežnikov
priprežništvo | dejavnost priprežnikov
priprežništvu | PRIPREŽNIŠTVO - dejavnost priprežnikov
priprošnjicah | PRIPROŠNJICA - ženska, ki prosi koga, da usliši prošnjo, izpolni željo komu
priprošnjicam | PRIPROŠNJICA - ženska, ki prosi koga, da usliši prošnjo, izpolni željo komu
priprošnjikih | PRIPROŠNJIK - kdor prosi koga, da usliši prošnjo, izpolni željo komu
priprošnjikom | PRIPROŠNJIK - kdor prosi koga, da usliši prošnjo, izpolni željo komu
priprošnjikov | PRIPROŠNJIK - kdor prosi koga, da usliši prošnjo, izpolni željo komu
pripustitvama | PRIPUSTITEV - glagolnik od pripustiti
pripustitvami | PRIPUSTITEV - glagolnik od pripustiti
pripustitvijo | PRIPUSTITEV - glagolnik od pripustiti
pripuščanjema | PRIPUŠČANJE - glagolnik od pripuščati
priračunavajo | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavala | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavale | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavali | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavalo | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavamo | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavata | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavate | PRIRAČUNAVATI - povečevati vsoto za določen znesek
priračunavati | povečevati vsoto za določen znesek
priračunavava | PRIRAČUNAVATI - povečevati vsoto za določen znesek
prirastiščema | PRIRASTIŠČE - mesto na kosti, kjer se mišica končuje
prirastlinama | PRIRASTLINA - kar se bolezensko, nenormalno priraste
prirastlinami | PRIRASTLINA - kar se bolezensko, nenormalno priraste
prirastnicama | PRIRASTNICA - [geol.] črta, ki razmejuje sezonski prirastek skeleta pri nevretenčarjih, npr. pri školjčni lupini, polžji hišici
prirastnicami | PRIRASTNICA - [geol.] črta, ki razmejuje sezonski prirastek skeleta pri nevretenčarjih, npr. pri školjčni lupini, polžji hišici
priraščanjema | PRIRAŠČANJE - glagolnik od priraščati
priravnavajmo | PRIRAVNAVATI
priravnavajta | PRIRAVNAVATI
priravnavajte | PRIRAVNAVATI
priravnavajva | PRIRAVNAVATI
prirediteljem | PRIREDITELJ - kdor kaj priredi
prirediteljev | PRIREDITELJ - kdor kaj priredi
prirediteljic | PRIREDITELJICA - ženska ali država, ustanova, ki kaj priredi
prirediteljih | PRIREDITELJ - kdor kaj priredi
prireditvenem | PRIREDITVEN - nanašajoč se na prireditev
prireditvenih | PRIREDITVEN - nanašajoč se na prireditev
prireditvenim | PRIREDITVEN - nanašajoč se na prireditev
prirednostima | PRIREDNOST
prirejenostih | PRIREJENOST - lastnost, značilnost prirejenega
prirejenostim | PRIREJENOST - lastnost, značilnost prirejenega
prirejenostjo | PRIREJENOST - lastnost, značilnost prirejenega
prirejenostma | PRIREJENOST - lastnost, značilnost prirejenega
prirejenostmi | PRIREJENOST - lastnost, značilnost prirejenega
prirejevalcem | PRIREJEVALEC - kdor kaj prireja
prirejevalcev | PRIREJEVALEC - kdor kaj prireja
prirejevalcih | PRIREJEVALEC - kdor kaj prireja
prirepništvih | PRIREPNIŠTVO - podrejena zveza s kom
prirepništvom | PRIREPNIŠTVO - podrejena zveza s kom
prirezovalcem | PRIREZOVALEC - delavec, ki prirezuje
prirezovalcev | PRIREZOVALEC - delavec, ki prirezuje
prirezovalcih | PRIREZOVALEC - delavec, ki prirezuje
prirezovalnem | PRIREZOVALEN - namenjen za prirezovanje
prirezovalnic | PRIREZOVALNICA - prostor, obrat, kjer se kroji, prirezuje
prirezovalnih | PRIREZOVALEN - namenjen za prirezovanje
prirezovalnim | PRIREZOVALEN - namenjen za prirezovanje
prirezovanjem | PRIREZOVANJE - glagolnik od prirezovati
prirezovanjih | PRIREZOVANJE - glagolnik od prirezovati
priročnejšega | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
priročnejšemu | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
priročnejšima | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
priročnejšimi | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
priročnostima | PRIROČNOST - lastnost, značilnost priročnega
prirodnjakoma | PRIRODNJAK - pripadnik prvotnega ljudstva
prirodnostima | PRIRODNOST
prirodopiscem | PRIRODOPISEC
prirodopiscev | PRIRODOPISEC
prirodopiscih | PRIRODOPISEC
prirodopisnem | PRIRODOPISEN - nanašajoč se na prirodopis
prirodopisnih | PRIRODOPISEN - nanašajoč se na prirodopis
prirodopisnim | PRIRODOPISEN - nanašajoč se na prirodopis
prirodopisoma | PRIRODOPIS - učni predmet v osnovni šoli, ki obsega botaniko, zoologijo in somatologijo
prirodoslovca | PRIRODOSLOVEC
prirodoslovce | PRIRODOSLOVEC
prirodoslovci | PRIRODOSLOVEC
prirodoslovcu | PRIRODOSLOVEC
prirodoslovec | 
prirodosloven | 
prirodoslovij | PRIRODOSLOVJE
prirodoslovja | PRIRODOSLOVJE
prirodoslovje | 
prirodoslovji | PRIRODOSLOVJE
prirodoslovju | PRIRODOSLOVJE
prirodoslovna | PRIRODOSLOVEN
prirodoslovne | PRIRODOSLOVEN
prirodoslovni | PRIRODOSLOVEN
prirodoslovno | PRIRODOSLOVEN
prirogovilijo | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilila | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilile | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilili | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovililo | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilimo | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilita | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogovilite | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirogoviliti | priti, povzročajoč nemir s hrupnim vedenjem
prirogoviliva | PRIROGOVILITI - priti, povzročajoč nemir s hrupnim vedenjem
prirojenostih | PRIROJENOST - lastnost, značilnost prirojenega
prirojenostim | PRIROJENOST - lastnost, značilnost prirojenega
prirojenostjo | PRIROJENOST - lastnost, značilnost prirojenega
prirojenostma | PRIROJENOST - lastnost, značilnost prirojenega
prirojenostmi | PRIROJENOST - lastnost, značilnost prirojenega
prisebnejšega | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
prisebnejšemu | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
prisebnejšima | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
prisebnejšimi | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
prisebnostima | PRISEBNOST - lastnost človeka, ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
prisedniškega | PRISEDNIŠKI - pridevnik od prisednik
prisedniškemu | PRISEDNIŠKI - pridevnik od prisednik
prisedniškima | PRISEDNIŠKI - pridevnik od prisednik
prisedniškimi | PRISEDNIŠKI - pridevnik od prisednik
prisedništvih | PRISEDNIŠTVO - položaj prisednika
prisedništvom | PRISEDNIŠTVO - položaj prisednika
prisegajočega | PRISEGATI - na določen način dajati zagotovilo o resničnosti v postopku izpovedanega
prisegajočemu | PRISEGATI - na določen način dajati zagotovilo o resničnosti v postopku izpovedanega
prisegajočima | PRISEGATI - na določen način dajati zagotovilo o resničnosti v postopku izpovedanega
prisegajočimi | PRISEGATI - na določen način dajati zagotovilo o resničnosti v postopku izpovedanega
prisekljivega | PRISEKLJIV
prisekljivemu | PRISEKLJIV
prisekljivima | PRISEKLJIV
prisekljivimi | PRISEKLJIV
priseljencema | PRISELJENEC - kdor se priseli
priseljenkama | PRISELJENKA - ženska, ki se priseli
priseljenkami | PRISELJENKA - ženska, ki se priseli
priseljenskem | PRISELJENSKI - nanašajoč se na priseljence
priseljenskih | PRISELJENSKI - nanašajoč se na priseljence
priseljenskim | PRISELJENSKI - nanašajoč se na priseljence
priseljevanja | PRISELJEVANJE - glagolnik od priseljevati se
priseljevanje | glagolnik od priseljevati se
priseljevanji | PRISELJEVANJE - glagolnik od priseljevati se
priseljevanju | PRISELJEVANJE - glagolnik od priseljevati se
prisiljencema | PRISILJENEC - kdor je prisiljen kaj biti, delati
prisiljenjema | PRISILJENJE - [prav.] kaznivo dejanje, ki ga stori oseba, ki na koga s silo ali z resno grožnjo vpliva, da kaj izvrši, opusti ali trpi
prisiljenkama | PRISILJENKA - ženska, ki je prisiljena kaj biti, delati
prisiljenkami | PRISILJENKA - ženska, ki je prisiljena kaj biti, delati
prisiljenosti | PRISILJENOST - lastnost, značilnost prisiljenega
prisiljevalen | nanašajoč se na prisiljevanje
prisiljevalna | PRISILJEVALEN - nanašajoč se na prisiljevanje
prisiljevalne | PRISILJEVALEN - nanašajoč se na prisiljevanje
prisiljevalni | PRISILJEVALEN - nanašajoč se na prisiljevanje
prisiljevalno | PRISILJEVALEN - nanašajoč se na prisiljevanje
prisiljevanja | PRISILJEVANJE - glagolnik od prisiljevati
prisiljevanje | glagolnik od prisiljevati
prisiljevanji | PRISILJEVANJE - glagolnik od prisiljevati
prisiljevanju | PRISILJEVANJE - glagolnik od prisiljevati
prisilnostima | PRISILNOST - dejstvo, da je kaj prisilno
priskakljajmo | PRISKAKLJATI - skakljajoč priti
priskakljajta | PRISKAKLJATI - skakljajoč priti
priskakljajte | PRISKAKLJATI - skakljajoč priti
priskakljajva | PRISKAKLJATI - skakljajoč priti
prisklednicah | PRISKLEDNICA - ženska, ki živi pri kom na njegove stroške
prisklednicam | PRISKLEDNICA - ženska, ki živi pri kom na njegove stroške
prisklednikih | PRISKLEDNIK - kdor živi pri kom na njegove stroške
