abalienacijama | ABALIENACIJA
zaprepaščenemu | ZAPREPASTITI - neprijetno presenetiti, osupniti
zaprepaščenima | ZAPREPASTITI - neprijetno presenetiti, osupniti
zaprepaščenimi | ZAPREPASTITI - neprijetno presenetiti, osupniti
zaprepaščenjem | ZAPREPAŠČENJE - neprijetno presenečenje, osuplost
zaprepaščenjih | ZAPREPAŠČENJE - neprijetno presenečenje, osuplost
zaprisežencema | ZAPRISEŽENEC - kdor je zaprisežen
zaprtotrosnica | glive, pri katerih nastajajo trosi v trosovniku, Ascomycetes
zaprtotrosnice | ZAPRTOTROSNICA - glive, pri katerih nastajajo trosi v trosovniku, Ascomycetes
zaprtotrosnici | ZAPRTOTROSNICA - glive, pri katerih nastajajo trosi v trosovniku, Ascomycetes
zaprtotrosnico | ZAPRTOTROSNICA - glive, pri katerih nastajajo trosi v trosovniku, Ascomycetes
zapuščenostima | ZAPUŠČENOST - stanje zapuščenega
zaračunavanjem | ZARAČUNAVANJE - glagolnik od zaračunavati
zaračunavanjih | ZARAČUNAVANJE - glagolnik od zaračunavati
zaraščenostima | ZARAŠČENOST - lastnost, značilnost zaraščenega
zarjavelostima | ZARJAVELOST - lastnost, značilnost zarjavelega
zarobljenostih | ZAROBLJENOST
zarobljenostim | ZAROBLJENOST
zarobljenostjo | ZAROBLJENOST
zarobljenostma | ZAROBLJENOST
zarobljenostmi | ZAROBLJENOST
zasanjanostima | ZASANJANOST - stanje zasanjanega človeka
zasebnopravnem | ZASEBNOPRAVEN - nanašajoč se na zasebno pravo
zasebnopravnih | ZASEBNOPRAVEN - nanašajoč se na zasebno pravo
zasebnopravnim | ZASEBNOPRAVEN - nanašajoč se na zasebno pravo
zasenčenostima | ZASENČENOST - lastnost, značilnost zasenčenega
zasenčevanjema | ZASENČEVANJE - glagolnik od zasenčevati
zasidranostima | ZASIDRANOST - stanje zasidranega
zaskrbljenosti | ZASKRBLJENOST - stanje zaskrbljenega človeka
zaskrbljujočem | ZASKRBLJEVATI - vzbujati skrb, vznemirjati
zaskrbljujočih | ZASKRBLJEVATI - vzbujati skrb, vznemirjati
zaskrbljujočim | ZASKRBLJEVATI - vzbujati skrb, vznemirjati
zaslanjevanjem | ZASLANJEVANJE - [bot.] kopičenje topnih anorganskih soli v tleh, npr. zaradi intenzivnega kemičnega preperevanja ali namakanja kmetijskih površin v sušnih območjih, s čimer se poslabšuje njihova primernost za rast rastlin
zaslanjevanjih | ZASLANJEVANJE - [bot.] kopičenje topnih anorganskih soli v tleh, npr. zaradi intenzivnega kemičnega preperevanja ali namakanja kmetijskih površin v sušnih območjih, s čimer se poslabšuje njihova primernost za rast rastlin
zasledovalcema | ZASLEDOVALEC - kdor koga ali kaj zasleduje
zasledovalkama | ZASLEDOVALKA - ženska, ki koga zasleduje
zasledovalkami | ZASLEDOVALKA - ženska, ki koga zasleduje
zasledovalnega | ZASLEDOVALEN - nanašajoč se na zasledovanje
zasledovalnemu | ZASLEDOVALEN - nanašajoč se na zasledovanje
zasledovalnima | ZASLEDOVALEN - nanašajoč se na zasledovanje
zasledovalnimi | ZASLEDOVALEN - nanašajoč se na zasledovanje
zasledovancema | ZASLEDOVANEC - kdor je zasledovan
zasledovanjema | ZASLEDOVANJE - glagolnik od zasledovati
zasledovankama | ZASLEDOVANKA - ženska, ki je zasledovana
zasledovankami | ZASLEDOVANKA - ženska, ki je zasledovana
zasledovanosti | ZASLEDOVANOST - stanje zasledovanega človeka
zaslepljajočem | ZASLEPLJATI - večkrat zaslepiti
zaslepljajočih | ZASLEPLJATI - večkrat zaslepiti
zaslepljajočim | ZASLEPLJATI - večkrat zaslepiti
zaslepljencema | ZASLEPLJENEC - zaslepljen, nekritičen človek
zaslepljenosti | ZASLEPLJENOST - stanje zaslepljenega, nekritičnega človeka
zaslepljevanja | ZASLEPLJEVANJE - glagolnik od zaslepljevati
zaslepljevanje | glagolnik od zaslepljevati
zaslepljevanji | ZASLEPLJEVANJE - glagolnik od zaslepljevati
zaslepljevanju | ZASLEPLJEVANJE - glagolnik od zaslepljevati
zaslepljujočem | ZASLEPLJEVATI - večkrat zaslepiti
zaslepljujočih | ZASLEPLJEVATI - večkrat zaslepiti
zaslepljujočim | ZASLEPLJEVATI - večkrat zaslepiti
zasliševalcema | ZASLIŠEVALEC - kdor zaslišuje
zasliševalnega | ZASLIŠEVALEN - nanašajoč se na zasliševanje
zasliševalnemu | ZASLIŠEVALEN - nanašajoč se na zasliševanje
zasliševalnica | prostor za zasliševanje
zasliševalnice | ZASLIŠEVALNICA - prostor za zasliševanje
zasliševalnici | ZASLIŠEVALNICA - prostor za zasliševanje
zasliševalnico | ZASLIŠEVALNICA - prostor za zasliševanje
zasliševalnima | ZASLIŠEVALEN - nanašajoč se na zasliševanje
zasliševalnimi | ZASLIŠEVALEN - nanašajoč se na zasliševanje
zasliševalskem | ZASLIŠEVALSKI - nanašajoč se na zasliševalce ali zasliševanje
zasliševalskih | ZASLIŠEVALSKI - nanašajoč se na zasliševalce ali zasliševanje
zasliševalskim | ZASLIŠEVALSKI - nanašajoč se na zasliševalce ali zasliševanje
zasliševancema | ZASLIŠEVANEC - kdor je zasliševan
zasliševanjema | ZASLIŠEVANJE - glagolnik od zasliševati
zaslugarstvoma | ZASLUGARSTVO - delovanje, ravnanje, ki temelji na pretiranem poudarjanju lastnih zaslug
zaslužkaricama | ZASLUŽKARICA - ženska, ki se ukvarja s posli, ki prinašajo velik zaslužek
zaslužkaricami | ZASLUŽKARICA - ženska, ki se ukvarja s posli, ki prinašajo velik zaslužek
zaslužkarskega | ZASLUŽKARSKI - nanašajoč se na zaslužkarje ali zaslužkarstvo
zaslužkarskemu | ZASLUŽKARSKI - nanašajoč se na zaslužkarje ali zaslužkarstvo
zaslužkarskima | ZASLUŽKARSKI - nanašajoč se na zaslužkarje ali zaslužkarstvo
zaslužkarskimi | ZASLUŽKARSKI - nanašajoč se na zaslužkarje ali zaslužkarstvo
zaslužkarstvih | ZASLUŽKARSTVO - opravljanje kakega dela, dejavnosti zlasti zaradi zaslužka
zaslužkarstvom | ZASLUŽKARSTVO - opravljanje kakega dela, dejavnosti zlasti zaradi zaslužka
zasmehljivcema | ZASMEHLJIVEC
zasmehljivkama | ZASMEHLJIVKA - zasmehljiva pesem
zasmehljivkami | ZASMEHLJIVKA - zasmehljiva pesem
zasmehljivosti | ZASMEHLJIVOST - lastnost, značilnost zasmehljivega
zasmehovalcema | ZASMEHOVALEC - kdor koga ali kaj zasmehuje
zasmehovalkama | ZASMEHOVALKA - ženska, ki koga ali kaj zasmehuje
zasmehovalkami | ZASMEHOVALKA - ženska, ki koga ali kaj zasmehuje
zasmehovalnega | ZASMEHOVALEN - ki izraža zasmehovanje
zasmehovalnemu | ZASMEHOVALEN - ki izraža zasmehovanje
zasmehovalnima | ZASMEHOVALEN - ki izraža zasmehovanje
zasmehovalnimi | ZASMEHOVALEN - ki izraža zasmehovanje
zasmehovanjema | ZASMEHOVANJE - glagolnik od zasmehovati
zasmrajenostih | ZASMRAJENOST - lastnost, značilnost zasmrajenega
zasmrajenostim | ZASMRAJENOST - lastnost, značilnost zasmrajenega
zasmrajenostjo | ZASMRAJENOST - lastnost, značilnost zasmrajenega
zasmrajenostma | ZASMRAJENOST - lastnost, značilnost zasmrajenega
zasmrajenostmi | ZASMRAJENOST - lastnost, značilnost zasmrajenega
zasneženostima | ZASNEŽENOST - [plan.] pokritost območja s snegom
zasneževalnega | ZASNEŽEVALEN - nanašajoč se na zasneževanje
zasneževalnemu | ZASNEŽEVALEN - nanašajoč se na zasneževanje
zasneževalnika | ZASNEŽEVALNIK - [smuč.] naprava, ki po tehnološkem postopku na vodni osnovi pod ustreznim tlakom in pri določeni temperaturi zraka izdeluje kompaktni sneg za zasneževanje smučarskih prog
zasneževalnike | ZASNEŽEVALNIK - [smuč.] naprava, ki po tehnološkem postopku na vodni osnovi pod ustreznim tlakom in pri določeni temperaturi zraka izdeluje kompaktni sneg za zasneževanje smučarskih prog
zasneževalniki | ZASNEŽEVALNIK - [smuč.] naprava, ki po tehnološkem postopku na vodni osnovi pod ustreznim tlakom in pri določeni temperaturi zraka izdeluje kompaktni sneg za zasneževanje smučarskih prog
zasneževalniku | ZASNEŽEVALNIK - [smuč.] naprava, ki po tehnološkem postopku na vodni osnovi pod ustreznim tlakom in pri določeni temperaturi zraka izdeluje kompaktni sneg za zasneževanje smučarskih prog
zasneževalnima | ZASNEŽEVALEN - nanašajoč se na zasneževanje
zasneževalnimi | ZASNEŽEVALEN - nanašajoč se na zasneževanje
zasneževanjema | ZASNEŽEVANJE - glagolnik od zasneževati
zasnovanostima | ZASNOVANOST - lastnost, značilnost zasnovanega
zasnovateljema | ZASNOVATELJ - kdor kaj zasnuje
zasopljenostih | ZASOPLJENOST
zasopljenostim | ZASOPLJENOST
zasopljenostjo | ZASOPLJENOST
zasopljenostma | ZASOPLJENOST
zasopljenostmi | ZASOPLJENOST
zasramovalcema | ZASRAMOVALEC - kdor koga ali kaj zasramuje
zasramovalnega | ZASRAMOVALEN - nanašajoč se na zasramovanje
zasramovalnemu | ZASRAMOVALEN - nanašajoč se na zasramovanje
zasramovalnima | ZASRAMOVALEN - nanašajoč se na zasramovanje
zasramovalnimi | ZASRAMOVALEN - nanašajoč se na zasramovanje
zasramovancema | ZASRAMOVANEC - kdor je zasramovan
zasramovanjema | ZASRAMOVANJE - glagolnik od zasramovati
zastaranostima | ZASTARANOST - stanje zastaranega
zastarelostima | ZASTARELOST - lastnost, značilnost zastarelega
zastarevajočem | ZASTAREVATI - postajati tak, da ni več v skladu
zastarevajočih | ZASTAREVATI - postajati tak, da ni več v skladu
zastarevajočim | ZASTAREVATI - postajati tak, da ni več v skladu
zastarevanjema | ZASTAREVANJE - glagolnik od zastarevati
zastaviteljema | ZASTAVITELJ - kdor da kaj v zastavo
zastavljalcema | ZASTAVLJAVEC - kdor kaj zastavlja, postavlja
zastavljalnica | ustanova, ki za zastavljene predmete posoja denar
zastavljalnice | ZASTAVLJALNICA - ustanova, ki za zastavljene predmete posoja denar
zastavljalnici | ZASTAVLJALNICA - ustanova, ki za zastavljene predmete posoja denar
zastavljalnico | ZASTAVLJALNICA - ustanova, ki za zastavljene predmete posoja denar
zastavljanjema | ZASTAVLJANJE
zastavljavcema | ZASTAVLJAVEC - kdor kaj zastavlja, postavlja
zastavljivosti | ZASTAVLJIVOST - [prav.] dejstvo, da je neko stvar ali pravico mogoče zastaviti
zastavonoscema | ZASTAVONOSEC
zastekljevalca | ZASTEKLJEVALEC - kdor se poklicno ukvarja z zastekljevanjem
zastekljevalce | ZASTEKLJEVALEC - kdor se poklicno ukvarja z zastekljevanjem
zastekljevalci | ZASTEKLJEVALEC - kdor se poklicno ukvarja z zastekljevanjem
zastekljevalcu | ZASTEKLJEVALEC - kdor se poklicno ukvarja z zastekljevanjem
zastekljevalec | kdor se poklicno ukvarja z zastekljevanjem
zastekljevanja | ZASTEKLJEVANJE - glagolnik od zastekljevati
zastekljevanje | glagolnik od zastekljevati
zastekljevanji | ZASTEKLJEVANJE - glagolnik od zastekljevati
zastekljevanju | ZASTEKLJEVANJE - glagolnik od zastekljevati
zastonjkarjema | ZASTONJKAR - kdor dobi, zahteva kaj zastonj, brezplačno
zastonjkarskem | ZASTONJKARSKI - nanašajoč se na zastonjkarje ali zastonjkarstvo
zastonjkarskih | ZASTONJKARSKI - nanašajoč se na zastonjkarje ali zastonjkarstvo
zastonjkarskim | ZASTONJKARSKI - nanašajoč se na zastonjkarje ali zastonjkarstvo
zastonjkarstev | ZASTONJKARSTVO - miselnost, lastnosti ali ravnanje zastonjkarjev
zastonjkarstva | ZASTONJKARSTVO - miselnost, lastnosti ali ravnanje zastonjkarjev
zastonjkarstvi | ZASTONJKARSTVO - miselnost, lastnosti ali ravnanje zastonjkarjev
zastonjkarstvo | miselnost, lastnosti ali ravnanje zastonjkarjev
zastonjkarstvu | ZASTONJKARSTVO - miselnost, lastnosti ali ravnanje zastonjkarjev
zastonjskostih | ZASTONJSKOST - lastnost, značilnost zastonjskega
zastonjskostim | ZASTONJSKOST - lastnost, značilnost zastonjskega
zastonjskostjo | ZASTONJSKOST - lastnost, značilnost zastonjskega
zastonjskostma | ZASTONJSKOST - lastnost, značilnost zastonjskega
zastonjskostmi | ZASTONJSKOST - lastnost, značilnost zastonjskega
zastopanostima | ZASTOPANOST - dejstvo, da je kdo zastopan
zastopništvoma | ZASTOPNIŠTVO
zastrahovanega | ZASTRAHOVATI
zastrahovanemu | ZASTRAHOVATI
zastrahovanima | ZASTRAHOVATI
zastrahovanimi | ZASTRAHOVATI
zastrahujočega | ZASTRAHOVATI
zastrahujočemu | ZASTRAHOVATI
zastrahujočima | ZASTRAHOVATI
zastrahujočimi | ZASTRAHOVATI
zastranjujočem | ZASTRANJEVATI - odmikati se, oddaljevati se od obravnavanega
zastranjujočih | ZASTRANJEVATI - odmikati se, oddaljevati se od obravnavanega
zastranjujočim | ZASTRANJEVATI - odmikati se, oddaljevati se od obravnavanega
zastrašenostih | ZASTRAŠENOST - stanje zastrašenega človeka
zastrašenostim | ZASTRAŠENOST - stanje zastrašenega človeka
zastrašenostjo | ZASTRAŠENOST - stanje zastrašenega človeka
zastrašenostma | ZASTRAŠENOST - stanje zastrašenega človeka
zastrašenostmi | ZASTRAŠENOST - stanje zastrašenega človeka
zastraševalnem | ZASTRAŠEVALEN - namenjen za zastraševanje
zastraševalnih | ZASTRAŠEVALEN - namenjen za zastraševanje
zastraševalnim | ZASTRAŠEVALEN - namenjen za zastraševanje
zastraševanjem | ZASTRAŠEVANJE - glagolnik od zastraševati
zastraševanjih | ZASTRAŠEVANJE - glagolnik od zastraševati
zastrašujočega | ZASTRAŠEVATI - z namernim vzbujanjem strahu delati, povzročati, da se koga odvrne od kakega dejanja, dela
zastrašujočemu | ZASTRAŠEVATI - z namernim vzbujanjem strahu delati, povzročati, da se koga odvrne od kakega dejanja, dela
zastrašujočima | ZASTRAŠEVATI - z namernim vzbujanjem strahu delati, povzročati, da se koga odvrne od kakega dejanja, dela
zastrašujočimi | ZASTRAŠEVATI - z namernim vzbujanjem strahu delati, povzročati, da se koga odvrne od kakega dejanja, dela
zastraženostih | ZASTRAŽENOST - stanje zastraženega
zastraženostim | ZASTRAŽENOST - stanje zastraženega
zastraženostjo | ZASTRAŽENOST - stanje zastraženega
zastraženostma | ZASTRAŽENOST - stanje zastraženega
zastraženostmi | ZASTRAŽENOST - stanje zastraženega
zastrmenostima | ZASTRMENOST - stanje zastrmenega
zastrupljajoča | ZASTRUPLJATI - povzročati, da v organizem prihaja strup
zastrupljajoče | ZASTRUPLJATI - povzročati, da v organizem prihaja strup
zastrupljajoči | ZASTRUPLJATI - povzročati, da v organizem prihaja strup
zastrupljajočo | ZASTRUPLJATI - povzročati, da v organizem prihaja strup
zastrupljanjem | ZASTRUPLJANJE - glagolnik od zastrupljati
zastrupljanjih | ZASTRUPLJANJE - glagolnik od zastrupljati
zastrupljencem | ZASTRUPLJENEC - kdor je zastrupljen
zastrupljencev | ZASTRUPLJENEC - kdor je zastrupljen
zastrupljencih | ZASTRUPLJENEC - kdor je zastrupljen
zastrupljenega | ZASTRUPITI - povzročiti, da v organizem pride strup
zastrupljenemu | ZASTRUPITI - povzročiti, da v organizem pride strup
zastrupljenima | ZASTRUPITI - povzročiti, da v organizem pride strup
zastrupljenimi | ZASTRUPITI - povzročiti, da v organizem pride strup
zastrupljenjem | ZASTRUPLJENJE - glagolnik od zastrupiti
zastrupljenjih | ZASTRUPLJENJE - glagolnik od zastrupiti
zastrupljenost | stanje zastrupljenega
zastrupljevala | ZASTRUPLJEVATI
zastrupljevale | ZASTRUPLJEVATI
zastrupljevali | ZASTRUPLJEVATI
zastrupljevalk | ZASTRUPLJEVALKA - ženska, ki zastruplja
zastrupljevalo | ZASTRUPLJEVATI
zastrupljevanj | ZASTRUPLJEVANJE
zastrupljevati | 
zastrupljujejo | ZASTRUPLJEVATI
zastrupljujemo | ZASTRUPLJEVATI
zastrupljujeta | ZASTRUPLJEVATI
zastrupljujete | ZASTRUPLJEVATI
zastrupljujeva | ZASTRUPLJEVATI
zasužnjenostih | ZASUŽNJENOST - stanje zasužnjenega človeka
zasužnjenostim | ZASUŽNJENOST - stanje zasužnjenega človeka
zasužnjenostjo | ZASUŽNJENOST - stanje zasužnjenega človeka
zasužnjenostma | ZASUŽNJENOST - stanje zasužnjenega človeka
zasužnjenostmi | ZASUŽNJENOST - stanje zasužnjenega človeka
zasužnjevalcem | ZASUŽNJEVALEC - kdor koga ali kaj zasužnjuje
zasužnjevalcev | ZASUŽNJEVALEC - kdor koga ali kaj zasužnjuje
zasužnjevalcih | ZASUŽNJEVALEC - kdor koga ali kaj zasužnjuje
zasužnjevalnem | ZASUŽNJEVALEN - nanašajoč se na zasužnjevanje
zasužnjevalnih | ZASUŽNJEVALEN - nanašajoč se na zasužnjevanje
zasužnjevalnim | ZASUŽNJEVALEN - nanašajoč se na zasužnjevanje
zasužnjevanega | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjevanemu | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjevanima | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjevanimi | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjevanjem | ZASUŽNJEVANJE - glagolnik od zasužnjevati
zasužnjevanjih | ZASUŽNJEVANJE - glagolnik od zasužnjevati
zasužnjujočega | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjujočemu | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjujočima | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasužnjujočimi | ZASUŽNJEVATI - delati, da je kdo suženj, da opravlja suženjska dela
zasvojenostima | ZASVOJENOST - stanje zasvojenega človeka
zasvojitvenega | ZASVOJITVEN - nanašajoč se na zasvojitev
zasvojitvenemu | ZASVOJITVEN - nanašajoč se na zasvojitev
zasvojitvenima | ZASVOJITVEN - nanašajoč se na zasvojitev
zasvojitvenimi | ZASVOJITVEN - nanašajoč se na zasvojitev
zaščitenostima | ZAŠČITENOST - dejstvo, da je kdo zaščiten
zaščitništvoma | ZAŠČITNIŠTVO - dejstvo, da je kdo zaščitnik
zašpekulirajmo | ZAŠPEKULIRATI - s špekuliranjem zapraviti
zašpekulirajta | ZAŠPEKULIRATI - s špekuliranjem zapraviti
zašpekulirajte | ZAŠPEKULIRATI - s špekuliranjem zapraviti
zašpekulirajva | ZAŠPEKULIRATI - s špekuliranjem zapraviti
zategovalnikih | ZATEGOVALNIK - naprava v avtomobilu, ki ob trku zategne varnostni pas, s čimer prepreči gibanje telesa potnika naprej
zategovalnikom | ZATEGOVALNIK - naprava v avtomobilu, ki ob trku zategne varnostni pas, s čimer prepreči gibanje telesa potnika naprej
zategovalnikov | ZATEGOVALNIK - naprava v avtomobilu, ki ob trku zategne varnostni pas, s čimer prepreči gibanje telesa potnika naprej
zatelebanostih | ZATELEBANOST
zatelebanostim | ZATELEBANOST
zatelebanostjo | ZATELEBANOST
zatelebanostma | ZATELEBANOST
zatelebanostmi | ZATELEBANOST
zatemnelostima | ZATEMNELOST - lastnost, značilnost zatemnelega
zatemnilnikoma | ZATEMNILNIK - stikalo za uravnavanje svetilnosti žarnice
zatemnitvenega | ZATEMNITVEN - nanašajoč se na zatemnitev
zatemnitvenemu | ZATEMNITVEN - nanašajoč se na zatemnitev
zatemnitvenima | ZATEMNITVEN - nanašajoč se na zatemnitev
zatemnitvenimi | ZATEMNITVEN - nanašajoč se na zatemnitev
zatemnjevanjem | ZATEMNJEVANJE - glagolnik od zatemnjevati
zatemnjevanjih | ZATEMNJEVANJE - glagolnik od zatemnjevati
zatopljenostih | ZATOPLJENOST - stanje zatopljenega človeka
zatopljenostim | ZATOPLJENOST - stanje zatopljenega človeka
zatopljenostjo | ZATOPLJENOST - stanje zatopljenega človeka
zatopljenostma | ZATOPLJENOST - stanje zatopljenega človeka
zatopljenostmi | ZATOPLJENOST - stanje zatopljenega človeka
zatreskanostih | ZATRESKANOST
zatreskanostim | ZATRESKANOST
zatreskanostjo | ZATRESKANOST
zatreskanostma | ZATRESKANOST
zatreskanostmi | ZATRESKANOST
zatriumfirajmo | ZATRIUMFIRATI - začutiti, izraziti zmagoslavje
zatriumfirajta | ZATRIUMFIRATI - začutiti, izraziti zmagoslavje
zatriumfirajte | ZATRIUMFIRATI - začutiti, izraziti zmagoslavje
zatriumfirajva | ZATRIUMFIRATI - začutiti, izraziti zmagoslavje
zatvorničarjem | ZATVORNIČAR
zatvorničarjev | ZATVORNIČAR
zatvorničarjih | ZATVORNIČAR
zaudarjajočega | ZAUDARJATI - oddajati, dajati neprijeten vonj
zaudarjajočemu | ZAUDARJATI - oddajati, dajati neprijeten vonj
zaudarjajočima | ZAUDARJATI - oddajati, dajati neprijeten vonj
zaudarjajočimi | ZAUDARJATI - oddajati, dajati neprijeten vonj
zaupljivejšega | ZAUPLJIV - ki (rad) zaupa, verjame
zaupljivejšemu | ZAUPLJIV - ki (rad) zaupa, verjame
zaupljivejšima | ZAUPLJIV - ki (rad) zaupa, verjame
zaupljivejšimi | ZAUPLJIV - ki (rad) zaupa, verjame
zaupljivostima | ZAUPLJIVOST - lastnost, značilnost zaupljivega človeka
zaustavljajoča | ZAUSTAVLJATI - za kratek čas ustavljati
zaustavljajoče | ZAUSTAVLJATI - za kratek čas ustavljati
zaustavljajoči | ZAUSTAVLJATI - za kratek čas ustavljati
zaustavljajočo | ZAUSTAVLJATI - za kratek čas ustavljati
zaustavljanjem | ZAUSTAVLJANJE - glagolnik od zaustavljati
zaustavljanjih | ZAUSTAVLJANJE - glagolnik od zaustavljati
zaustavljenega | ZAUSTAVITI - za kratek čas ustaviti
zaustavljenemu | ZAUSTAVITI - za kratek čas ustaviti
zaustavljenima | ZAUSTAVITI - za kratek čas ustaviti
zaustavljenimi | ZAUSTAVITI - za kratek čas ustaviti
zavaljenostima | ZAVALJENOST - značilnost zavaljenega, debelega
zavarovalnicah | ZAVAROVALNICA - organizacija, ki opravlja zavarovanje oseb in premoženja
zavarovalnicam | ZAVAROVALNICA - organizacija, ki opravlja zavarovanje oseb in premoženja
zavarovalničar | kdor se poklicno ukvarja z zavarovalno dejavnostjo
zavarovalninah | ZAVAROVALNINA - dajatev, storitev zavarovalnice, določena v zavarovalni pogodbi
zavarovalninam | ZAVAROVALNINA - dajatev, storitev zavarovalnice, določena v zavarovalni pogodbi
zavarovalniška | ZAVAROVALNIŠKI - nanašajoč se na zavarovalnico ali zavarovalništvo
zavarovalniške | ZAVAROVALNIŠKI - nanašajoč se na zavarovalnico ali zavarovalništvo
zavarovalniški | nanašajoč se na zavarovalnico ali zavarovalništvo
zavarovalniško | ZAVAROVALNIŠKI - nanašajoč se na zavarovalnico ali zavarovalništvo
zavarovalstvih | ZAVAROVALSTVO - dejavnost, ki se ukvarja z zavarovanjem oseb, premoženja in s socialnim zavarovanjem
zavarovalstvom | ZAVAROVALSTVO - dejavnost, ki se ukvarja z zavarovanjem oseb, premoženja in s socialnim zavarovanjem
zavarovančevem | ZAVAROVANČEV - nanašajoč se na zavarovanca
zavarovančevih | ZAVAROVANČEV - nanašajoč se na zavarovanca
zavarovančevim | ZAVAROVANČEV - nanašajoč se na zavarovanca
zavarovanostih | ZAVAROVANOST - stanje zavarovanega
zavarovanostim | ZAVAROVANOST - stanje zavarovanega
zavarovanostjo | ZAVAROVANOST - stanje zavarovanega
zavarovanostma | ZAVAROVANOST - stanje zavarovanega
zavarovanostmi | ZAVAROVANOST - stanje zavarovanega
zavarovateljem | ZAVAROVATELJ - zavarovalnica kot stranka zavarovalne pogodbe
zavarovateljev | ZAVAROVATELJ - zavarovalnica kot stranka zavarovalne pogodbe
zavarovateljih | ZAVAROVATELJ - zavarovalnica kot stranka zavarovalne pogodbe
zaverovanostih | ZAVEROVANOST - stanje zaverovanega človeka
zaverovanostim | ZAVEROVANOST - stanje zaverovanega človeka
zaverovanostjo | ZAVEROVANOST - stanje zaverovanega človeka
zaverovanostma | ZAVEROVANOST - stanje zaverovanega človeka
zaverovanostmi | ZAVEROVANOST - stanje zaverovanega človeka
zavetrovanjema | ZAVETROVANJE - [kamn.] zaščitni ukrep, ki med montažo z diagonalno pritrjenimi deskami ali kovinskimi palicami preprečuje gibanje vertikalnih podpornih elementov v horizontalni smeri
zavidljivejšem | ZAVIDLJIV - zelo dober, ugoden
zavidljivejših | ZAVIDLJIV - zelo dober, ugoden
zavidljivejšim | ZAVIDLJIV - zelo dober, ugoden
zavidljivostih | ZAVIDLJIVOST
zavidljivostim | ZAVIDLJIVOST
zavidljivostjo | ZAVIDLJIVOST
zavidljivostma | ZAVIDLJIVOST
zavidljivostmi | ZAVIDLJIVOST
zavlačevalnega | ZAVLAČEVALEN - nanašajoč se na zavlačevanje
zavlačevalnemu | ZAVLAČEVALEN - nanašajoč se na zavlačevanje
zavlačevalnima | ZAVLAČEVALEN - nanašajoč se na zavlačevanje
zavlačevalnimi | ZAVLAČEVALEN - nanašajoč se na zavlačevanje
zavlačevanjema | ZAVLAČEVANJE - glagolnik od zavlačevati
zavojevalskega | ZAVOJEVALSKI
zavojevalskemu | ZAVOJEVALSKI
zavojevalskima | ZAVOJEVALSKI
zavojevalskimi | ZAVOJEVALSKI
zavojevateljem | ZAVOJEVATELJ
zavojevateljev | ZAVOJEVATELJ
zavojevateljih | ZAVOJEVATELJ
zavozlanostima | ZAVOZLANOST - stanje zavozlanega
zazdravljenjem | ZAZDRAVLJENJE - začasno ali delno ozdravljenje
zazdravljenjih | ZAZDRAVLJENJE - začasno ali delno ozdravljenje
zazidljivostih | ZAZIDLJIVOST - lastnost, značilnost zazidljivega
zazidljivostim | ZAZIDLJIVOST - lastnost, značilnost zazidljivega
zazidljivostjo | ZAZIDLJIVOST - lastnost, značilnost zazidljivega
zazidljivostma | ZAZIDLJIVOST - lastnost, značilnost zazidljivega
zazidljivostmi | ZAZIDLJIVOST - lastnost, značilnost zazidljivega
zaznamenovanem | ZAZNAMENOVATI
zaznamenovanih | ZAZNAMENOVATI
zaznamenovanim | ZAZNAMENOVATI
zaznamovalcema | ZAZNAMOVALEC - kdor kaj zaznamuje
zaznamovalnega | ZAZNAMOVALEN - ki zaznamuje
zaznamovalnemu | ZAZNAMOVALEN - ki zaznamuje
zaznamovalnima | ZAZNAMOVALEN - ki zaznamuje
zaznamovalnimi | ZAZNAMOVALEN - ki zaznamuje
zaznamovancema | ZAZNAMOVANEC - kdor je zaznamovan, ima posledice zaradi česa
zaznamovanjema | ZAZNAMOVANJE - glagolnik od zaznamovati
zaznamovanosti | ZAZNAMOVANOST - lastnost, značilnost zaznamovanega
zazvončkljajmo | ZAZVONČKLJATI - dati kratke, visoke, zveneče glasove
zazvončkljajta | ZAZVONČKLJATI - dati kratke, visoke, zveneče glasove
zazvončkljajte | ZAZVONČKLJATI - dati kratke, visoke, zveneče glasove
zazvončkljajva | ZAZVONČKLJATI - dati kratke, visoke, zveneče glasove
zaželjenostima | ZAŽELENOST - lastnost, značilnost zaželenega
zbadljivostima | ZBADLJIVOST - lastnost, značilnost zbadljivega
zbalanciranjem | ZBALANSIRANJE - glagolnik od zbalansirati
zbalanciranjih | ZBALANSIRANJE - glagolnik od zbalansirati
zbalansiranjem | ZBALANSIRANJE - glagolnik od zbalansirati
zbalansiranjih | ZBALANSIRANJE - glagolnik od zbalansirati
zbanalizirajmo | ZBANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
